,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
26,Navashino,76,RU,1578429059,96,55.54,42.19,19.87,7.67
27,Castro,75,CL,1578429061,87,-42.48,-73.76,55.4,11.41
28,Kruisfontein,99,ZA,1578429062,93,-34.0,24.73,67.6,8.88
29,Gazanjyk,13,TM,1578429063,74,39.24,55.52,35.74,10.85
30,Dikson,95,RU,1578429064,95,73.51,80.55,4.06,10.25
31,Butaritari,67,KI,1578429065,77,3.07,172.79,84.85,17.45
32,San Quintin,33,PH,1578429066,88,17.54,120.52,68.68,3.71
33,Laguna,90,BZ,1578429068,83,16.17,-88.94,73.4,1.14
34,Honiara,75,SB,1578429069,94,-9.43,159.96,77.0,2.24
35,Chuy,0,UY,1578429070,47,-33.69,-53.46,73.89,12.66
36,Mayna,91,RU,1578429071,79,53.0,91.49,9.27,3.94
37,Coquimbo,0,CL,1578429072,56,-29.95,-71.34,69.8,16.11
38,Bredasdorp,0,ZA,1578428943,83,-34.53,20.04,71.01,2.24
39,Rome,67,IT,1578428780,65,41.89,12.48,45.0,4.7
40,Saint-Francois,90,FR,1578429076,87,46.42,3.91,44.6,1.12
41,Nenjiang,0,CN,1578429077,97,49.17,125.23,-3.96,6.02
42,Koshurnikovo,100,RU,1578429078,91,54.3,93.39,5.77,1.41
43,Mildura,0,AU,1578429079,68,-34.18,142.16,64.4,9.17
44,Ribeira Grande,40,PT,1578429080,93,38.52,-28.7,64.4,9.17
45,Isangel,20,VU,1578429082,74,-19.55,169.27,80.6,5.82
46,Mahebourg,75,MU,1578429083,88,-20.41,57.7,78.8,1.12
47,Tiksi,93,RU,1578429084,89,71.64,128.87,-9.85,4.47
48,Chulym,91,RU,1578429085,96,55.09,80.97,8.4,5.59
49,Sevierville,1,US,1578429075,34,35.87,-83.56,52.0,12.75
50,Cape Town,0,ZA,1578428842,94,-33.93,18.42,73.99,8.05
51,Comodoro Rivadavia,40,AR,1578428791,22,-45.87,-67.48,75.2,27.51
52,Port Alfred,100,ZA,1578428994,97,-33.59,26.89,68.0,16.46
53,Ostrow Mazowiecka,0,PL,1578429091,53,52.8,21.9,32.0,4.23
54,Lorengau,100,PG,1578429092,75,-2.02,147.27,83.55,4.65
55,Nisia Floresta,75,BR,1578429093,70,-6.09,-35.21,86.0,16.11
56,Carnarvon,100,ZA,1578429094,77,-30.97,22.13,66.69,12.06
57,Tazovskiy,100,RU,1578429095,94,67.47,78.7,6.69,12.68
58,Pevek,0,RU,1578429096,76,69.7,170.27,-8.5,13.35
59,Dalvik,75,SE,1578429098,93,57.79,14.13,41.0,17.22
60,Nizhneudinsk,0,RU,1578429099,84,54.91,99.03,7.86,1.1
61,Vostok,92,RU,1578429100,71,46.45,135.83,5.27,2.77
62,Tasiilaq,100,GL,1578429101,75,65.61,-37.64,8.82,28.14
63,Kodiak,1,US,1578428889,39,39.95,-94.76,51.01,12.75
64,Bluff,57,AU,1578429104,84,-23.58,149.07,72.39,9.13
65,Pontes e Lacerda,100,BR,1578428827,87,-15.23,-59.33,80.58,4.79
66,Ilhabela,77,BR,1578429106,74,-23.78,-45.36,83.44,13.76
67,Irupi,99,BR,1578429028,87,-20.35,-41.64,77.5,2.82
68,Lae,100,PG,1578429108,91,-6.72,146.98,67.23,2.48
69,Kieta,99,PG,1578429109,78,-6.22,155.63,82.71,3.76
70,Kavieng,90,PG,1578428996,80,-2.57,150.8,82.45,9.35
71,Clonakilty,75,IE,1578429112,93,51.62,-8.87,52.0,13.87
72,Bandarbeyla,100,SO,1578429113,73,9.49,50.81,78.91,17.72
73,Ust-Kulom,99,RU,1578429114,94,61.69,53.69,12.2,8.3
74,That Phanom,20,TH,1578429115,90,16.94,104.73,64.83,5.68
75,Ratnagiri,51,IN,1578429116,91,16.98,73.3,69.87,1.12
76,Bathsheba,20,BB,1578429117,58,13.22,-59.52,84.2,16.11
77,Constitucion,5,MX,1578429118,19,23.99,-104.67,61.0,2.24
78,Itoman,75,JP,1578429120,83,26.12,127.67,73.4,16.11
79,Jinchang,100,CN,1578429121,62,38.52,102.19,18.07,2.17
80,Artyom,75,RU,1578429122,85,43.36,132.19,17.6,11.18
81,Beidao,98,CN,1578429123,73,34.57,105.89,27.0,3.53
82,Rikitea,0,PF,1578429124,79,-23.12,-134.97,77.29,18.25
83,Puerto Ayora,75,EC,1578429125,62,-0.74,-90.35,84.2,10.29
84,Vaini,0,IN,1578428940,79,15.34,74.49,65.88,1.43
85,Oktyabrskoye,75,RU,1578429128,92,56.73,85.44,21.99,6.71
86,Khatanga,96,RU,1578429129,96,71.98,102.47,5.65,7.9
87,Payson,1,US,1578429130,51,40.04,-111.73,48.0,4.7
88,Hobart,20,AU,1578428998,82,-42.88,147.33,57.99,1.12
89,Panjab,0,AF,1578429132,95,34.38,67.02,-10.91,6.33
90,Arkhangelsk,90,RU,1578429133,99,64.54,40.54,32.0,8.95
91,Buckeburg,96,DE,1578428965,75,52.26,9.05,44.6,8.05
92,Macau,100,BR,1578429136,82,-5.11,-36.64,81.7,22.66
93,Longyearbyen,40,NO,1578429137,63,78.22,15.63,28.4,47.2
94,Mount Isa,40,AU,1578429138,54,-20.73,139.49,82.4,8.05
95,Nelson Bay,20,AU,1578429139,88,-32.72,152.14,73.99,11.41
96,Rexburg,40,US,1578429140,80,43.82,-111.79,35.6,3.36
97,Narsaq,75,GL,1578429142,71,60.91,-46.05,8.6,4.7
98,Saint George,20,GR,1578429029,55,39.45,22.34,35.6,3.36
99,Leningradskiy,55,RU,1578429144,93,69.38,178.42,-13.25,12.68
100,Bethel,1,US,1578429145,68,60.79,-161.76,-18.4,11.41
101,Goderich,89,CA,1578429024,78,43.74,-81.71,39.0,8.99
102,Balkanabat,3,TM,1578429051,66,39.51,54.36,39.2,18.72
103,Arraial do Cabo,20,BR,1578428888,74,-22.97,-42.02,95.0,12.75
104,Kavaratti,59,IN,1578429150,74,10.57,72.64,81.99,10.27
105,Hermanus,0,ZA,1578429104,89,-34.42,19.24,70.0,1.01
106,Emerald,68,AU,1578429152,83,-23.53,148.16,73.4,4.7
107,Portland,75,US,1578429075,47,43.66,-70.25,36.0,8.05
108,Saskylakh,96,RU,1578429154,96,71.97,114.09,-3.95,8.19
109,Bafilo,0,TG,1578429155,29,9.35,1.24,79.66,3.24
110,Vila Franca do Campo,40,PT,1578429157,93,37.72,-25.43,64.4,9.17
111,Abu Dhabi,0,AE,1578428955,72,24.47,54.37,64.4,6.4
112,Pisco,20,PE,1578429159,30,-13.71,-76.2,73.0,10.29
113,Clyde River,20,CA,1578429160,74,70.47,-68.59,-25.6,11.41
114,Lokosovo,18,RU,1578429161,96,61.13,74.84,0.19,5.66
115,Tuatapere,100,NZ,1578429162,80,-46.13,167.69,52.0,4.0
116,At-Bashi,99,KG,1578429163,96,41.17,75.81,-3.01,1.86
117,Broken Hill,0,AU,1578429165,23,-31.97,141.45,75.2,10.29
118,Stepnyak,100,KZ,1578429166,96,52.83,70.79,17.35,1.05
119,Nago,90,IT,1578429167,100,45.88,10.89,37.99,4.7
120,Batangafo,0,CF,1578429168,29,7.3,18.29,76.69,3.83
121,Luderitz,54,NA,1578429169,82,-26.65,15.16,66.2,2.24
122,Kaitangata,55,NZ,1578429170,67,-46.28,169.85,55.0,5.01
123,Bend,1,US,1578429017,39,44.06,-121.32,51.8,10.29
124,Urgut,75,UZ,1578429172,62,39.41,67.25,32.0,3.85
125,Avarua,36,CK,1578429174,78,-21.21,-159.78,82.4,10.29
126,Nome,1,US,1578429175,24,30.04,-94.42,66.99,6.93
127,Najran,0,SA,1578429176,68,17.54,44.22,64.4,4.7
128,Mount Gambier,90,AU,1578428887,93,-37.83,140.78,50.0,5.82
129,Barcelos,19,BR,1578428936,46,-0.97,-62.93,91.62,3.06
130,Hilo,90,US,1578429179,65,19.71,-155.08,78.8,12.75
131,Charters Towers,81,AU,1578429181,80,-20.07,146.27,75.4,11.61
132,Yinchuan,33,CN,1578429182,56,38.48,106.21,19.96,2.91
133,Winnemucca,1,US,1578429060,36,40.97,-117.74,46.99,5.88
134,Tiarei,40,PF,1578429184,74,-17.53,-149.33,84.2,3.36
135,Cidreira,4,BR,1578429185,75,-30.17,-50.22,75.56,15.93
136,Flinders,75,AU,1578429186,73,-34.58,150.85,70.0,11.41
137,Tutoia,40,BR,1578429187,78,-2.76,-42.27,82.4,9.17
138,Vardo,90,US,1578429050,86,39.62,-77.74,34.0,6.93
139,Aksu,90,KZ,1578429190,91,52.04,76.93,1.4,2.24
140,Kununurra,100,AU,1578429191,94,-15.77,128.74,77.0,5.82
141,Batken,89,KG,1578429192,78,40.06,70.82,20.25,4.9
142,Tarauaca,0,BR,1578429193,43,-8.16,-70.77,90.93,5.93
143,Iqaluit,90,CA,1578429194,68,63.75,-68.52,-18.0,14.99
144,Chokurdakh,0,RU,1578428941,95,70.62,147.9,-24.77,5.23
145,Siavonga,31,ZW,1578429196,80,-16.54,28.71,75.88,7.9
146,Carlsbad,75,CZ,1578429198,93,50.23,12.87,37.0,3.36
147,Vestmannaeyjar,100,IS,1578429199,66,63.44,-20.27,31.57,45.21
148,Fortuna,90,US,1578429200,62,40.6,-124.16,55.0,6.93
149,Cine,100,TR,1578429201,65,37.61,28.06,46.4,5.82
150,Bereda,75,ES,1578429202,93,43.27,-7.54,57.99,5.82
151,Thompson,40,CA,1578429026,76,55.74,-97.86,-11.2,8.05
152,Coihaique,75,CL,1578429205,66,-45.58,-72.07,57.2,10.29
153,Tera,75,CY,1578429206,71,34.97,32.42,57.2,12.75
154,Qaanaaq,29,GL,1578429207,91,77.48,-69.36,-24.79,1.99
155,De-Kastri,70,RU,1578429208,79,51.48,140.77,11.08,5.06
156,Kirakira,100,SB,1578429209,87,-10.46,161.92,78.55,7.65
157,Lompoc,1,US,1578429211,32,34.64,-120.46,71.01,4.7
158,Takoradi,1,GH,1578428997,77,4.89,-1.75,79.57,11.3
159,Egvekinot,0,RU,1578429105,69,66.32,-179.17,-19.73,2.53
160,Sulangan,93,PH,1578429214,81,11.14,123.72,79.74,13.76
161,Iralaya,29,HN,1578429215,79,15.0,-83.23,79.21,22.66
162,Sao Joao da Barra,20,BR,1578429216,66,-21.64,-41.05,86.0,18.34
163,Talnakh,75,RU,1578429217,84,69.49,88.39,5.0,22.37
164,Caravelas,1,BR,1578429219,82,-17.73,-39.27,78.42,12.19
165,Bay Roberts,90,CA,1578429220,86,47.58,-53.28,28.0,3.36
166,Pilar,0,AR,1578429221,30,-34.46,-58.91,88.0,13.87
167,Pemberton,59,AU,1578429222,91,-34.44,116.03,63.0,2.55
168,Hithadhoo,96,MV,1578429036,75,-0.6,73.08,83.48,12.53
169,Marabba,0,SD,1578429224,17,12.35,32.18,74.52,12.33
170,Qandala,74,SO,1578429225,72,11.47,49.87,75.9,5.84
171,Nikolskoye,90,RU,1578429226,86,59.7,30.79,39.2,11.18
172,Mogadishu,100,SO,1578429191,81,2.04,45.34,81.68,24.45
173,Luwuk,100,ID,1578429229,74,-0.95,122.79,81.66,11.5
174,Pangnirtung,20,CA,1578429230,13,66.15,-65.72,-34.6,2.86
175,Mahina,1,ML,1578429231,13,13.76,-10.85,72.1,8.61
176,Yulara,100,AU,1578429232,51,-25.24,130.99,80.6,8.05
177,Shubarshi,88,KZ,1578429233,96,48.59,57.19,12.4,5.28
178,Harper,1,US,1578429234,13,30.3,-99.24,66.99,6.98
179,Whitehorse,90,CA,1578429000,76,60.72,-135.06,-11.0,6.93
180,San Vicente,75,EC,1578429237,88,-0.59,-80.41,78.8,3.36
181,Banda Aceh,72,ID,1578429173,86,5.56,95.32,71.08,4.59
182,Muscat,0,OM,1578429239,63,23.6,58.55,66.2,5.82
183,Belgrade,0,RS,1578429240,92,44.82,20.46,24.8,3.36
184,Port Macquarie,5,AU,1578429212,83,-31.43,152.91,73.99,4.7
185,Nicoya,20,CR,1578429243,46,10.15,-85.45,89.6,27.51
186,Tessalit,55,ML,1578429213,21,20.2,1.01,61.41,9.86
187,Norman Wells,5,CA,1578429245,72,65.28,-126.83,-41.8,3.36
188,Poum,0,MK,1578429246,38,41.28,20.71,32.0,11.41
189,Hinton,100,CA,1578429247,90,53.4,-117.57,15.24,4.52
190,Vilyuysk,98,RU,1578429062,96,63.75,121.63,8.94,5.12
191,Sabha,0,LY,1578429250,54,27.03,14.43,44.08,3.98
192,Quatre Cocos,75,MU,1578429104,88,-20.21,57.76,78.8,1.12
193,Vila Velha,40,BR,1578429252,70,-3.71,-38.6,86.0,8.05
194,Tianpeng,0,CN,1578429253,84,28.88,112.34,40.62,8.48
195,Vung Tau,100,VN,1578429254,85,10.35,107.08,75.54,9.82
196,Ancud,75,CL,1578429255,87,-41.87,-73.83,55.4,11.41
197,Port Lincoln,0,AU,1578429257,69,-34.72,135.86,66.83,6.04
198,Angoche,100,MZ,1578429258,96,-16.23,39.91,75.51,5.01
199,Aklavik,5,CA,1578429259,65,68.22,-135.01,-32.8,2.24
200,Mirabad,0,IR,1578429260,67,28.27,61.33,39.85,4.83
201,Muros,75,ES,1578429261,100,42.77,-9.06,54.0,4.7
202,Pesqueria,5,MX,1578429262,28,25.78,-100.05,68.0,3.36
203,Georgetown,75,GY,1578429264,78,6.8,-58.16,86.0,9.17
204,Honolulu,40,US,1578429002,61,21.3,-157.86,78.8,27.51
205,Puerto Madryn,33,AR,1578429266,11,-42.77,-65.04,88.5,15.97
206,Kangaatsiaq,100,GL,1578429267,100,68.31,-53.46,0.82,20.58
207,Esperance,90,AU,1578429268,100,-33.86,121.89,64.4,8.05
208,Provideniya,0,RU,1578429269,93,64.42,-173.23,-12.57,1.21
209,Camapua,100,BR,1578429270,85,-19.53,-54.04,78.94,5.91
210,Aykhal,55,RU,1578429272,92,65.95,111.51,5.0,6.71
211,Kapuskasing,90,CA,1578429273,79,49.42,-82.43,21.2,5.82
212,Baykit,98,RU,1578429274,96,61.68,96.39,3.65,2.08
213,Souillac,90,FR,1578429275,100,45.6,-0.6,53.6,6.93
214,Bonthe,87,SL,1578429276,76,7.53,-12.5,77.11,6.06
215,Husavik,100,CA,1578429278,73,50.56,-96.99,1.99,8.99
216,Grindavik,90,IS,1578429279,63,63.84,-22.43,30.2,39.15
217,Haines Junction,100,CA,1578429280,98,60.75,-137.51,-7.8,5.82
218,Saldanha,17,PT,1578429281,75,41.42,-6.55,39.09,1.12
219,Tadine,100,NC,1578429282,63,-21.55,167.88,76.68,10.65
220,Port Elizabeth,90,US,1578429283,48,39.31,-74.98,46.99,9.17
221,Puerto Carreno,0,CO,1578429285,74,6.19,-67.49,82.4,5.82
222,Lagos,7,NG,1578429201,65,6.46,3.39,80.6,3.36
223,Mar del Plata,86,AR,1578429287,30,-46.43,-67.52,70.59,26.78
224,Shache,100,CN,1578429288,77,38.42,77.24,24.51,1.9
225,Espinosa,96,BR,1578429289,87,-14.92,-42.81,74.37,2.15
226,Kahului,40,US,1578429224,61,20.89,-156.47,78.8,14.99
227,Inhambane,20,MZ,1578429292,78,-23.87,35.38,80.6,4.7
228,College,90,US,1578429293,67,64.86,-147.8,-23.01,1.74
229,Acapulco,20,MX,1578429258,66,16.86,-99.88,86.0,6.93
230,Faya,40,SA,1578429295,87,18.39,42.45,59.0,17.22
231,Jalu,0,LY,1578429296,75,29.03,21.55,49.75,10.29
232,Zhigansk,100,RU,1578429298,97,66.77,123.37,-5.87,8.14
233,Antalaha,66,MG,1578429299,80,-14.9,50.28,80.74,8.75
234,Houma,97,CN,1578429300,87,35.63,111.36,28.76,2.95
235,Marsa Matruh,40,EG,1578429301,71,31.35,27.25,50.0,14.99
236,Fredericksburg,90,US,1578429302,100,38.3,-77.46,37.99,4.7
237,Ponta Delgada,40,PT,1578429303,93,37.73,-25.67,64.4,10.29
238,San Rafael,100,AR,1578429305,18,-34.61,-68.33,85.53,9.62
239,Sur,0,OM,1578429306,49,22.57,59.53,68.65,12.01
240,Rawson,26,AR,1578429088,38,-43.3,-65.11,74.1,11.63
241,Karratha,100,AU,1578429308,69,-20.74,116.85,84.45,10.63
242,Chichicastenango,64,GT,1578429309,57,14.94,-91.11,65.32,7.05
243,Flin Flon,5,CA,1578429029,63,54.77,-101.88,-9.4,6.93
244,Vanderhoof,100,CA,1578429311,92,54.02,-124.02,12.7,2.64
245,Hasaki,75,JP,1578429312,100,35.73,140.83,39.2,3.36
246,Linxia,100,CN,1578429314,77,35.6,103.21,19.89,1.61
247,Fenoarivo Atsinanana,100,MG,1578429315,89,-17.38,49.41,76.82,3.4
248,Muncar,59,ID,1578429316,80,-8.43,114.34,79.63,6.91
249,Tilichiki,100,RU,1578429184,94,60.47,166.1,1.22,7.58
250,Nouadhibou,64,MR,1578429318,48,20.93,-17.03,66.2,10.29
251,Srednekolymsk,34,RU,1578429319,99,67.46,153.71,-23.03,3.29
252,Ponta do Sol,100,BR,1578429320,79,-20.63,-46.0,78.35,4.45
253,Broome,90,GB,1578429322,87,52.47,1.45,55.4,19.46
254,Tanout,1,NE,1578429323,18,14.97,8.88,64.58,16.69
255,Sitka,0,US,1578429157,26,37.17,-99.65,57.0,8.99
256,Ardahan,11,TR,1578429325,91,41.11,42.7,9.86,3.36
257,Kusa,100,RU,1578429326,95,55.34,59.45,15.01,2.26
258,Morgan City,1,US,1578429327,29,29.7,-91.21,64.99,11.41
259,Qaqortoq,75,GL,1578429329,71,60.72,-46.03,8.6,4.7
260,Anloga,25,GH,1578429330,69,5.79,0.9,82.4,5.82
261,Tabou,0,CI,1578429331,84,4.42,-7.36,75.6,3.65
262,Chapais,90,CA,1578429332,78,49.78,-74.86,12.2,11.41
263,Praya,40,ID,1578429087,94,-8.71,116.27,78.8,2.24
264,Zavetnoye,100,RU,1578429334,96,47.12,43.89,33.84,11.16
265,Borzya,0,RU,1578429336,96,50.39,116.53,-7.92,2.33
266,Iskateley,9,RU,1578429337,96,67.68,53.15,2.12,9.22
267,Longniddry,75,GB,1578429338,87,55.98,-2.9,54.0,24.16
268,Port Hedland,75,AU,1578429339,83,-20.31,118.58,78.8,21.92
269,Cayenne,90,GF,1578429340,78,4.94,-52.33,82.4,10.29
270,Lebu,100,ET,1578429342,94,8.96,38.73,53.76,1.68
271,High Prairie,100,CA,1578429329,96,55.43,-116.48,2.43,5.41
272,Severo-Kurilsk,58,RU,1578429344,88,50.68,156.12,18.82,10.38
273,Makokou,65,GA,1578429345,75,0.56,12.85,74.46,2.73
274,Victoria,75,BN,1578429114,88,5.28,115.24,80.6,7.45
275,Muisne,75,EC,1578429266,79,0.61,-80.02,84.2,5.82
276,Cherskiy,0,RU,1578429184,76,68.75,161.3,-19.43,9.06
277,Codrington,58,AU,1578429349,88,-28.95,153.24,73.99,4.7
278,Buraydah,0,SA,1578429351,67,26.33,43.97,60.8,14.99
279,Miraflores,20,PE,1578429352,45,-16.39,-71.52,66.2,16.11
280,Miyako,75,JP,1578429353,71,33.63,130.94,57.2,14.99
281,Mocuba,100,MZ,1578429354,95,-16.84,36.99,75.24,0.58
282,Plettenberg Bay,93,ZA,1578429356,83,-34.05,23.37,69.6,8.25
283,Suntar,100,RU,1578429357,93,62.16,117.65,17.65,8.23
284,Shimoda,90,JP,1578429358,100,34.7,138.93,50.0,2.24
285,Waipawa,0,NZ,1578429359,51,-39.94,176.59,64.99,6.22
286,Hami,0,CN,1578429360,53,42.84,93.51,15.13,2.73
287,Navirai,100,BR,1578429230,88,-23.07,-54.19,79.03,1.23
288,Sergeyevka,97,KZ,1578429363,96,53.88,67.42,12.74,1.52
289,Esmeraldas,75,BR,1578429364,65,-19.76,-44.31,87.8,8.05
290,Tyup,100,KG,1578429365,48,42.73,78.36,14.68,4.25
291,Toora-Khem,2,RU,1578429367,95,52.47,96.11,-9.83,0.09
292,Lahij,91,YE,1578429368,76,13.06,44.88,77.16,9.17
293,Tornio,90,FI,1578429369,100,61.12,27.27,39.0,12.75
294,La Libertad,20,PE,1578429370,45,-16.38,-71.56,66.2,16.11
295,Manacapuru,40,BR,1578429371,49,-3.3,-60.62,93.2,6.93
296,Neuquen,0,AR,1578429372,18,-38.95,-68.06,90.0,14.99
297,Mizdah,0,LY,1578429374,79,31.45,12.98,43.56,3.96
298,Axim,25,GH,1578429375,72,4.87,-2.24,77.59,4.99
299,Capiibary,74,PY,1578429376,50,-24.8,-56.03,87.42,5.91
300,Hailar,100,CN,1578429377,100,49.2,119.7,-6.79,5.41
301,Sobolevo,66,RU,1578429378,95,54.43,31.9,29.91,8.79
302,Champerico,75,MX,1578429379,54,16.38,-93.6,78.8,9.17
303,Biloela,6,AU,1578429381,76,-24.4,150.51,69.51,4.27
304,LaBelle,75,US,1578429264,49,26.76,-81.44,73.99,8.05
305,Camalu,0,MX,1578429383,15,30.85,-116.07,72.07,3.78
306,Tautira,40,PF,1578429384,74,-17.73,-149.15,84.2,3.36
307,Sarh,0,TD,1578429385,50,9.14,18.39,75.2,3.49
308,Aripuana,18,BR,1578429386,63,-9.17,-60.63,89.26,2.01
309,Klaksvik,98,FO,1578429387,69,62.23,-6.59,39.2,38.03
310,Sao Filipe,100,CV,1578429389,75,14.9,-24.5,68.31,23.91
311,Xinyu,82,CN,1578429390,79,27.8,114.93,44.49,7.99
312,Salalah,0,OM,1578429391,47,17.01,54.1,78.8,10.29
313,Nanortalik,100,GL,1578429392,87,60.14,-45.24,24.4,24.43
314,Ratnapura,26,IN,1578429393,79,17.9,77.63,69.58,10.87
315,Nantucket,1,US,1578429394,55,41.28,-70.1,41.0,4.7
316,Northam,0,AU,1578429395,88,-31.65,116.67,64.0,4.7
317,Moussoro,1,TD,1578429397,12,13.64,16.49,72.41,13.89
318,Saucillo,24,MX,1578429398,20,28.03,-105.29,60.87,5.37
319,Tirumullaivasal,79,IN,1578429399,77,11.24,79.84,79.07,14.97
320,Santa Fe,0,AR,1578429400,19,-31.62,-60.7,91.0,5.99
321,Markova,77,RU,1578429401,85,52.21,104.21,10.4,6.71
322,Victoria,75,BN,1578429114,88,5.28,115.24,80.6,7.45
323,Touros,75,BR,1578429403,70,-5.2,-35.46,84.2,16.11
324,Chililabombwe,100,ZM,1578429405,95,-12.37,27.84,65.3,3.33
325,Namibe,100,AO,1578429406,81,-15.19,12.15,73.42,3.11
326,Mitsamiouli,50,KM,1578429407,73,-11.38,43.28,83.03,1.83
327,Mattru,100,SL,1578429408,79,7.62,-11.83,74.77,3.67
328,Lisakovsk,99,KZ,1578429409,95,52.55,62.49,12.54,2.75
329,Rzhyshchiv,0,UA,1578429410,92,49.97,31.05,23.0,1.9
330,Dubrovka,90,RU,1578429412,86,59.85,30.93,39.2,11.18
331,Videira,32,BR,1578429413,95,-27.01,-51.15,72.25,1.34
332,Kalmunai,81,LK,1578429414,79,7.42,81.82,81.01,20.4
333,Tazmalt,40,DZ,1578429159,87,36.39,4.4,46.4,4.7
334,Ivybridge,100,GB,1578429416,98,50.39,-3.92,55.99,18.61
335,Turkan,69,AF,1578429417,83,35.6,68.92,9.57,3.13
336,Belmonte,0,PT,1578429418,22,40.36,-7.35,46.0,1.99
337,Yertsevo,100,RU,1578429419,96,60.8,40.09,28.17,7.74
338,Pangkalanbuun,100,ID,1578429421,96,-2.68,111.62,74.59,1.86
339,Auce,74,LV,1578429422,86,56.47,22.9,34.39,12.53
340,Eagle Pass,5,MX,1578429407,37,28.71,-100.5,68.0,6.93
341,Ghorawal,76,IN,1578429424,58,24.75,82.78,57.52,2.93
342,Harindanga,47,IN,1578429425,93,22.04,88.32,51.8,3.22
343,Plainview,1,US,1578429224,10,34.18,-101.71,64.0,23.04
344,Barcarena,75,BR,1578429427,88,-1.51,-48.62,77.0,6.93
345,Rio Grande,20,BR,1578429160,40,-32.03,-52.1,87.8,10.29
346,Fairbanks,90,US,1578429228,74,64.84,-147.72,-23.01,0.92
347,Chumikan,100,RU,1578429431,80,54.72,135.31,6.98,7.52
348,Pangody,62,RU,1578429432,97,65.85,74.49,-4.77,10.98
349,Upernavik,100,GL,1578429433,75,72.79,-56.15,-13.02,3.8
350,Bambous Virieux,75,MU,1578429434,88,-20.34,57.76,78.8,1.12
351,Orodara,49,BF,1578429436,34,10.98,-4.92,78.8,6.93
352,Acari,96,BR,1578429437,42,-6.44,-36.64,86.54,15.03
353,Yeppoon,40,AU,1578429438,83,-23.13,150.74,73.4,8.05
354,Biak,100,ID,1578429439,74,-0.91,122.88,81.66,11.5
355,Te Anau,100,NZ,1578429440,84,-45.41,167.72,44.22,2.19
356,Jishou,99,CN,1578429441,87,28.26,109.7,41.47,3.8
357,Katsuura,75,JP,1578429443,82,33.93,134.5,64.4,24.16
358,Faanui,10,PF,1578429444,80,-16.48,-151.75,81.57,17.98
359,Cabo San Lucas,5,MX,1578429373,57,22.89,-109.91,82.0,9.17
360,Wanning,75,AT,1578429446,93,48.64,13.53,37.99,5.82
361,Byron Bay,26,AU,1578429447,94,-28.65,153.62,75.0,2.19
362,San Patricio,0,PY,1578429448,29,-26.98,-56.83,91.15,6.46
363,Tibacuy,20,CO,1578429449,52,4.35,-74.45,69.8,12.75
364,Vikhorevka,24,RU,1578429451,92,56.12,101.17,5.0,2.24
365,Dhidhdhoo,71,MV,1578429177,75,6.88,73.1,81.54,4.5
366,Uppsala,100,SE,1578429453,93,59.86,17.64,42.01,14.99
367,Aksaray,75,TR,1578429454,86,38.37,34.03,41.0,5.82
368,Havoysund,100,NO,1578429455,79,71.0,24.66,35.6,10.29
369,Logansport,40,US,1578429456,52,40.75,-86.36,45.0,13.87
370,Hay River,90,CA,1578429458,75,60.82,-115.79,-18.4,1.63
371,Teguldet,99,RU,1578429459,96,57.31,88.17,13.26,5.08
372,Sola,20,TZ,1578429460,84,-3.17,33.8,67.08,0.49
373,Ormara,1,PK,1578429461,40,25.21,64.64,70.83,20.51
